cycle,p1Fitness,p2Fitness,averageTotalFitness
553,30,30,52.5
554,32,30,52.5
555,30,30,52.5
556,30,30,52.5
557,40,30,52.5
558,30,30,52.5
559,30,30,52.5
560,32,40,52.5
561,34,32,52.5
562,32,36,52.5
563,28,32,52.5
564,30,28,52.5
565,30,30,52.5
566,28,30,52.5
567,28,28,52.5
568,34,28,52.5
569,28,28,52.5
570,30,28,52.5
571,28,32,52.5
572,28,34,52.5
573,28,30,52.5
574,28,28,52.5
575,28,36,52.5
576,30,30,52.5
577,30,40,52.5
578,38,36,52.5
579,36,40,52.5
580,36,38,52.5
581,30,36,52.5
582,36,38,52.5
583,36,40,52.5
584,34,36,52.5
585,36,34,52.5
586,40,40,52.5
587,40,40,52.5
588,40,38,52.5
589,36,40,52.5
590,36,36,52.5
591,40,32,52.5
592,34,40,52.5
593,34,36,52.5
594,34,34,52.5
595,34,32,52.5
596,32,32,52.5
597,32,36,52.5
598,36,36,52.5
599,38,34,52.5
600,42,36,52.5
601,32,36,52.5
602,32,38,52.5
603,32,32,52.5
604,38,32,52.5
605,36,38,52.5
606,38,42,52.5
607,38,48,52.5
608,38,38,52.5
609,34,38,52.5
610,34,36,52.5
611,34,42,52.5
612,34,34,52.5
613,34,36,52.5
614,34,34,52.5
615,34,40,52.5
616,34,34,52.5
617,34,34,52.5
618,40,28,52.5
619,28,34,52.5
620,28,28,52.5
621,28,28,52.5
622,28,28,52.5
623,28,36,52.5
624,32,28,52.5
625,28,28,52.5
626,28,28,52.5
627,28,28,52.5
628,32,32,52.5
629,38,42,52.5
630,38,48,52.5
631,34,36,52.5
632,30,34,52.5
633,30,30,52.5
634,30,32,52.5
635,30,40,52.5
636,36,40,52.5
637,34,34,52.5
638,36,40,52.5
639,40,36,52.5
640,34,38,52.5
641,38,42,52.5
642,38,42,52.5
643,38,40,52.5
644,34,38,52.5
645,34,40,52.5
646,34,34,52.5
647,34,34,52.5
648,34,34,52.5
649,40,40,52.5
650,42,40,52.5
651,40,40,52.5
652,46,40,52.5
653,40,40,52.5
654,40,40,52.5
655,44,40,52.5
